Order ID,Order Date,Ship Date,Ship Mode,Days to Ship Actual,Days to Ship Scheduled,Ship Status,Customer ID,Customer Name,Segment,Country/Region,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Sales Forecast,Sales Target,Price,Profit Ratio,Sales Target Status,forecast_bias,Sales Forecast Status
CA-2017-103800,1/3/2017,1/7/2017,Standard Class,4,6,Shipped Early,DP-13000,Darren Powers,Consumer,United States,Houston,Texas,77095,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16,2,20,6,25,15,8,37.5,Target Achieved,9,Over Forecast
CA-2017-112326,1/4/2017,1/8/2017,Standard Class,4,6,Shipped Early,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,12,3,20,4,18,300,4,33.33,Target Not Achieved,6,Over Forecast
CA-2017-112326,1/4/2017,1/8/2017,Standard Class,4,6,Shipped Early,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,273,3,20,-65,408,300,91,-23.81,Target Not Achieved,135,Over Forecast
CA-2017-112326,1/4/2017,1/8/2017,Standard Class,4,6,Shipped Early,PO-19195,Phillina Ober,Home Office,United States,Naperville,Illinois,60540,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,4,2,80,-5,5,300,2,-125,Target Not Achieved,1,Over Forecast
CA-2017-141817,1/5/2017,1/12/2017,Standard Class,7,6,Shipped Late,MB-18085,Mick Brown,Consumer,United States,Philadelphia,Pennsylvania,19143,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20,3,20,5,29,21,6.67,25,Target Not Achieved,9,Over Forecast
CA-2017-167199,1/6/2017,1/10/2017,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5,2,0,1,8,699,2.5,20,Target Not Achieved,3,Over Forecast
CA-2017-167199,1/6/2017,1/10/2017,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2574,9,0,746,3855,2316,286,28.98,Target Achieved,1281,Over Forecast
CA-2017-167199,1/6/2017,1/10/2017,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,610,2,0,274,914,699,305,44.92,Target Not Achieved,304,Over Forecast
CA-2017-106054,1/6/2017,1/7/2017,First Class,1,1,Shipped On Time,JO-15145,Jack O'Briant,Corporate,United States,Athens,Georgia,30605,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13,3,0,5,19,14,4.33,38.46,Target Not Achieved,6,Over Forecast
CA-2017-167199,1/6/2017,1/10/2017,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,392,2,0,114,587,1068,196,29.08,Target Not Achieved,195,Over Forecast
CA-2017-167199,1/6/2017,1/10/2017,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,756,4,0,204,1132,1068,189,26.98,Target Not Achieved,376,Over Forecast
CA-2017-167199,1/6/2017,1/10/2017,Standard Class,4,6,Shipped Early,ME-17320,Maria Etezadi,Home Office,United States,Henderson,Kentucky,42420,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31,4,0,0,47,699,7.75,0,Target Not Achieved,16,Over Forecast
